车辆ID,左车道速度,右车道速度,总平均速度
bus1,23.1,,23.1
bus10,19.5,,19.5
bus10004,21.1,,21.1
bus10010,14.4,,14.4
bus10012,21.69,,21.69
bus10018,21.06,,21.06
bus10021,19.07,,19.07
bus10032,26.45,,26.45
bus10074,2.4,,2.4
bus10089,23.53,,23.53
bus10090,22.34,,22.34
bus10092,12.31,,12.31
bus10107,7.31,,7.31
bus1011,19.85,,19.85
bus10122,8.09,,8.09
bus10129,18.02,,18.02
bus1014,31.07,,31.07
bus10141,17.83,,17.83
bus10166,17.0,,17.0
bus10176,6.92,,6.92
bus10180,21.61,,21.61
bus10186,16.56,,16.56
bus10188,22.18,,22.18
bus10193,14.68,,14.68
bus10198,22.4,,22.4
bus10209,19.69,,19.69
bus10214,20.9,,20.9
bus10226,1.53,,1.53
bus1024,23.19,,23.19
bus10248,13.55,,13.55
bus10271,23.74,,23.74
bus10281,11.65,,11.65
bus10286,16.36,,16.36
bus103,28.6,,28.6
bus1030,21.37,,21.37
bus10307,19.13,,19.13
bus10316,18.5,,18.5
bus10321,19.42,,19.42
bus10324,26.36,,26.36
bus10337,27.71,,27.71
bus10339,15.03,,15.03
bus10350,24.97,,24.97
bus1036,26.19,,26.19
bus10360,30.07,,30.07
bus10364,18.02,,18.02
bus10371,19.2,,19.2
bus10385,28.09,,28.09
bus104,28.39,,28.39
bus10405,19.8,,19.8
bus10409,20.73,,20.73
bus10416,18.95,,18.95
bus10419,25.34,,25.34
bus10436,29.43,,29.43
bus10438,33.82,,33.82
bus10440,24.85,,24.85
bus10442,27.12,,27.12
bus10446,26.31,,26.31
bus10456,33.56,,33.56
bus10458,27.13,,27.13
bus10460,26.61,,26.61
bus10462,30.46,,30.46
bus10464,30.28,,30.28
bus10465,34.43,,34.43
bus10466,27.88,,27.88
bus10467,31.2,,31.2
bus10473,31.18,,31.18
bus10477,35.23,,35.23
bus1048,37.54,,37.54
bus10481,29.4,,29.4
bus10489,31.0,,31.0
bus10495,33.68,,33.68
bus10513,28.27,,28.27
bus10521,27.01,,27.01
bus10529,34.4,,34.4
bus10544,31.92,,31.92
bus10548,35.53,,35.53
bus10552,33.25,,33.25
bus10558,33.21,,33.21
bus1056,21.29,,21.29
bus10560,33.55,,33.55
bus10562,36.34,,36.34
bus10572,34.39,,34.39
bus1058,23.92,,23.92
bus10580,23.9,,23.9
bus10583,32.66,,32.66
bus10585,27.18,,27.18
bus10586,30.5,,30.5
bus10588,26.4,,26.4
bus10597,40.12,,40.12
bus10600,28.89,,28.89
bus10608,23.5,,23.5
bus10611,36.8,,36.8
bus1062,29.38,,29.38
bus10621,24.82,,24.82
bus10629,17.81,,17.81
bus10632,30.65,,30.65
bus10644,3.65,,3.65
bus10654,49.95,,49.95
bus10657,17.6,,17.6
bus10675,17.9,,17.9
bus1068,39.1,,39.1
bus10694,23.16,,23.16
bus10697,18.82,,18.82
bus10700,12.18,,12.18
bus10705,22.4,,22.4
bus1071,45.6,,45.6
bus10712,17.61,,17.61
bus10728,68.2,,68.2
bus10734,38.7,,38.7
bus10735,20.66,,20.66
bus10736,27.33,,27.33
bus10738,18.38,,18.38
bus1075,30.49,,30.49
bus1076,32.84,,32.84
bus10765,24.31,,24.31
bus10766,32.1,,32.1
bus10779,21.68,,21.68
bus10781,31.37,,31.37
bus10787,10.71,,10.71
bus108,25.5,19.12,23.91
bus10800,31.78,,31.78
bus10803,21.73,,21.73
bus10806,35.91,,35.91
bus1081,41.43,,41.43
bus10813,29.19,,29.19
bus1084,36.17,,36.17
bus10864,10.29,,10.29
bus10870,19.2,,19.2
bus10871,2.16,,2.16
bus10873,11.32,,11.32
bus10880,20.9,,20.9
bus10881,22.74,,22.74
bus10885,21.5,,21.5
bus1090,34.01,,34.01
bus10902,24.1,,24.1
bus10906,20.7,,20.7
bus10909,22.13,,22.13
bus10910,16.99,,16.99
bus10916,14.0,,14.0
bus10917,13.71,,13.71
bus1092,37.35,,37.35
bus10921,20.56,,20.56
bus10924,16.84,,16.84
bus10925,23.7,,23.7
bus10928,20.57,,20.57
bus10934,20.13,,20.13
bus10935,15.56,,15.56
bus10957,19.34,,19.34
bus10963,27.5,,27.5
bus10987,4.6,,4.6
bus1099,36.25,,36.25
bus11000,49.8,,49.8
bus11003,21.26,,21.26
bus11013,24.94,,24.94
bus11014,21.18,,21.18
bus11017,30.88,,30.88
bus11018,24.49,,24.49
